アクティビティ &#21517;&#21069; miyohide
 
 お気に入り,アクティビティ名,アクティビティ タイプ,コース,スタート,タイム,距離,高度上昇量,平均スピード(平均ペース),最高スピード(ベストペース),平均心拍,最高心拍,カロリー,合計ストローク数,平均ストローク数,最小ストローク数,平均SWOLF,最高SWOLF,トレーニング効果,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 2 1 10:06 午前",1:13:25,15.04,58,4:53,2:34,--,--,870,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"水, 2015 1 28 6:32 午後",34:02,7.05,64,4:49,2:22,--,--,412,--,--,--,--,--,--,
 false,Komatsugawa ランニング,ランニング,--,"土, 2015 1 24 9:42 午前",2:57:23,30.20,76,5:52,4:24,--,--,"1,744",--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 1 18 1:58 午後",27:53,6.01,39,4:38,2:59,--,--,346,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"金, 2015 1 16 8:33 午後",48:01,10.03,52,4:47,1:39,--,--,593,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"火, 2015 1 13 8:16 午後",23:34,5.00,33,4:43,3:26,--,--,287,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 1 11 10:17 午前",1:22:19,17.01,137,4:50,2:37,--,--,986,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"金, 2015 1 9 7:37 午後",57:45,12.05,54,4:47,1:55,--,--,706,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"水, 2015 1 7 9:09 午後",38:40,8.04,61,4:49,1:34,--,--,475,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 1 4 9:59 午前",58:12,12.08,80,4:49,3:27,--,--,704,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"金, 2015 1 2 6:27 午後",47:11,10.02,59,4:43,3:46,--,--,586,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"水, 2014 12 31 10:05 午前",23:48,5.02,35,4:44,3:08,--,--,290,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2014 12 28 4:15 午後",1:23:20,17.02,103,4:54,3:30,--,--,985,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"木, 2014 12 25 8:34 午後",28:10,6.02,34,4:41,2:16,--,--,348,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"火, 2014 12 23 2:09 午後",48:33,10.41,69,4:40,3:05,--,--,598,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2014 12 21 10:02 午前",1:12:50,15.03,93,4:51,2:41,--,--,877,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"金, 2014 12 19 9:41 午後",32:55,7.02,47,4:41,2:18,--,--,410,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"水, 2014 12 17 7:16 午後",50:30,10.53,50,4:48,2:19,--,--,622,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 12 14 9:37 午前",1:00:21,12.60,67,4:47,3:26,--,--,924,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 12 12 8:19 午後",23:52,5.04,31,4:44,2:34,--,--,370,--,--,--,--,--,--,
 
