アクティビティ &#21517;&#21069; miyohide
 
 お気に入り,アクティビティ名,アクティビティ タイプ,コース,スタート,タイム,距離,高度上昇量,平均スピード(平均ペース),最高スピード(ベストペース),平均心拍,最高心拍,カロリー,合計ストローク数,平均ストローク数,最小ストローク数,平均SWOLF,最高SWOLF,トレーニング効果,
 false,タイトルなし,ランニング,--,"土, 2014 10 11 9:12 午前",3:15:05,30.03,144,6:30,3:56,--,--,"1,686",--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 10 5 2:00 午後",13:26,3.02,11,4:27,3:42,--,--,173,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 9 26 7:45 午後",1:02:57,10.40,110,6:03,2:05,--,--,603,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"火, 2014 9 23 5:27 午後",52:16,11.04,96,4:44,3:40,--,--,642,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"水, 2014 9 17 7:21 午後",25:02,5.07,37,4:56,4:10,--,--,295,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2014 9 14 8:04 午前",49:21,10.01,80,4:56,1:20,--,--,590,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"金, 2014 9 12 7:42 午後",1:04:23,10.50,113,6:08,2:40,--,--,611,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"火, 2014 9 9 7:44 午後",33:38,7.03,36,4:47,2:13,--,--,413,--,--,--,--,--,--,
 
